Ecoregion (Level III),,,,,,,,
Eastern Great Lakes Lowlands,Northern Allegheny Plateau,Erie Drift Plain,Northeastern Coastal Zone,Northern Piedmont,Ridge and Valley,Atlantic Coastal Pine Barrens,Northeastern Highlands,North Central Appalachians
x,x,,x,,,,x,x
x,x,,x,x,x,x,x,
x,x,,x,,,,x,
x,x,x,x,x,x,,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,,x,
x,x,,x,x,x,,x,
x,x,x,x,x,x,,x,x
NA,,,,,,,,
NA,,,,,,,,
x,x,,x,x,x,x,x,x
x,x,,,,,,,
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
,x,,x,x,x,,,
x,x,x,x,,x,x,x,
x,x,,x,x,x,x,x,x
x,x,,x,x,x,x,x,x
x,x,,x,x,x,x,x,
x,x,,x,x,x,x,x,
x,,,x,,,,,x
x,x,,x,x,x,x,x,
NA,,,,,,,,
x,x,x,x,x,x,x,x,x
x,x,,x,x,x,x,x,
NA,,,,,,,,
x,,,x,x,,x,x,x
x,x,,x,x,x,x,x,
x,x,,,,,,x,
x,x,,x,x,,x,,
x,x,,x,,,x,x,
x,x,,x,,x,x,x,
x,x,,x,,x,,x,x
,x,,x,,,x,,
x,,,x,,,,x,
,x,,x,,x,,,
x,x,,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,,x,
x,x,x,x,x,x,x,x,
NA,,,,,,,,
x,x,,x,,,,,
x,x,,x,x,x,x,x,x
x,,,x,x,,x,,
x,x,,x,x,x,x,x,
x,x,,x,x,,x,x,
x,x,,x,x,x,x,x,
x,x,,x,,x,,x,x
,x,,x,x,x,x,,
x,x,x,x,x,x,x,x,x
NA,,,,,,,,
x,x,,x,x,,x,x,x
,,,x,x,x,x,,
x,x,,x,,,,,
x,x,,x,x,x,x,,
x,x,,x,x,x,x,x,
x,x,,x,x,x,x,x,
NA,,,,,,,,
x,x,x,x,x,,,x,
x,x,,x,,x,,x,x
x,,,x,,x,x,x,
,x,,x,,x,x,x,
,,,x,x,,,,x
x,x,,x,x,,,x,
x,x,,x,x,x,x,x,
x,x,,x,x,x,x,x,
NA,,,,,,,,
,x,,x,x,,,,
,x,,x,x,x,x,x,
x,x,,x,x,,x,x,
,x,,x,x,x,x,x,
x,x,,x,x,x,x,x,
x,x,,x,x,x,x,x,
x,x,x,x,x,x,,x,
x,x,,x,x,x,x,x,
x,x,x,x,x,x,x,x,
x,x,,x,x,x,x,,
x,x,,x,x,x,x,x,
NA,,,,,,,,
NA,,,,,,,,
x,x,,x,,x,,x,
,,,x,x,,x,,x
NA,,,,,,,,
x,x,,x,x,,,x,x
x,,,x,x,,x,,
NA,,,,,,,,
x,x,,x,x,x,x,x,x
,,,x,x,,,,
x,x,x,x,x,x,x,x,
NA,,,,,,,,
,,,x,x,,x,x,
x,x,,x,x,x,x,x,
x,x,x,x,,,,,
x,x,,x,,,x,x,
x,x,,x,x,x,x,x,x
,x,,x,x,x,,x,x
x,x,,x,x,x,x,x,
x,x,,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x
x,x,,x,x,x,,x,
x,x,,x,x,x,,x,
x,x,,,,,,x,