Planting Considerations,,
Recommended for Windbreak,Deer Resistance,Pest & Pathogen Susceptibility
,Intermediate,Intermediate
,Low,Low
,Intermediate,Low
,Low,Low
,Intermediate,Low
x,Intermediate,Low
,Intermediate,Low
,Intermediate,Low
,Low,Low
x,Low,Low
x,Intermediate,Low
,Low,Low
,Intermediate,Intermediate
,Intermediate,Intermediate
x,Low,Intermediate
,Low,Intermediate
,Low,Intermediate
,Low,Low
,Intermediate,Low
,Intermediate,Low
,Intermediate,Low
x,Intermediate,Low
,Intermediate,Low
,Low,High
x,Low,Low
,Intermediate,Low
,High,Low
,Intermediate,Intermediate
,Very Low,Intermediate
,Low,Intermediate
,Very Low,Intermediate
,Low,Intermediate
,Low,Intermediate
,Very Low,Intermediate
,Low,Intermediate
,Intermediate,Low
,Low,High
x,Intermediate,High
,Intermediate,High
x,Intermediate,High
x,Intermediate,Intermediate
x,Low,Low
,Low,Low
,Low,Low
,Intermediate,High
x,Intermediate,Intermediate
x,Low,Low
,Low,Intermediate
,Intermediate,Intermediate
,Intermediate,Low
,Low,Low
,Intermediate,Low
,High,Low
x,Intermediate,Low
,Intermediate,Low
,Low,Low
,Low,Low
,Intermediate,Low
x,Low,Intermediate
,Low,Intermediate
,Low,Intermediate
x,Low,Intermediate
,Low,Intermediate
x,Low,Intermediate
,Low,Intermediate
x,Low,Intermediate
,Low,Intermediate
,Low,Intermediate
,Low,Low
,Low,Low
x,Low,Low
,Low,Low
,Low,Low
x,High,Low
,Low,Low
x,Intermediate,Intermediate
x,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
x,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
x,Intermediate,Intermediate
,Intermediate,Intermediate
,Intermediate,Intermediate
x,Intermediate,Intermediate
,Intermediate,Low
,Intermediate,Low
,Intermediate,Intermediate
,High,Intermediate
x,High,Low
x,High,Low
,High,High
x,Intermediate,High
,Intermediate,High
,Low,High