SAF Forest Type Group,,,,,,
900  Aspen-birch,700  Elm-ash-cottonwood,160  Loblolly-shortleaf pine,800  Maple-beech-birch,500  Oak-hickory,120  Spruce-fir,100  White-red-jack pine
x,,,x,,x,x
x,x,,x,x,,
NA,,,,,,
x,,,x,x,x,x
x,x,x,x,x,x,x
,x,,x,,,
x,x,x,x,x,x,x
x,,,x,,x,x
NA,,,,,,
NA,,,,,,
x,x,x,x,x,x,x
,x,x,x,x,,
,x,,x,x,x,x
NA,,,,,,
,x,,,x,,
x,,,x,,x,x
x,x,x,x,,,x
,x,x,x,x,,
,x,x,x,x,x,x
,,x,x,x,,x
NA,,,,,,
,,x,x,x,,x
,x,x,x,x,,
NA,,,,,,
NA,,,,,,
x,x,x,x,x,,
,,x,,,,
,,x,x,x,,x
NA,,,,,,
NA,,,,,,
NA,,,,,,
NA,,,,,,
NA,,,,,,
NA,,,,,,
NA,,,,,,
,,x,,x,,
x,x,x,x,x,x,x
x,x,x,x,x,x,x
x,x,,x,x,x,
x,x,x,x,x,,x
,x,,x,x,,
NA,,,,,,
,,x,x,x,x,x
,,x,,x,,x
,x,x,x,x,x,x
,x,x,x,x,x,x
x,x,x,x,x,,x
,x,,,,x,x
,,x,,x,,
,,x,x,x,,x
,x,x,x,x,,
NA,,,,,,
NA,,,,,,
NA,,,,,,
,x,x,x,x,,
,,x,,x,x,x
x,x,x,x,x,x,x
NA,,,,,,
NA,,,,,,
NA,,,,,,
x,,,x,,x,x
x,,,,x,x,x
,,x,,x,,x
NA,,,,,,
NA,,,,,,
x,x,x,x,x,x,x
,,x,,x,,
,,x,,x,,
,x,,x,x,,
x,x,,,,x,x
x,x,x,x,x,,
x,,,x,x,x,x
x,x,,x,x,x,x
x,x,,x,x,x,x
x,x,x,x,x,x,x
x,,x,x,x,,x
x,x,,x,x,,
,,x,,x,,x
,,x,,x,,
NA,,,,,,
NA,,,,,,
,,x,,x,,
,,x,x,x,,x
,,x,x,x,,x
,,,x,x,,
,,x,,x,,x
,x,,,,,
,,x,,,,
x,,x,x,x,,x
,x,x,x,x,,
,,x,,x,,
,,x,x,x,,x
NA,,,,,,
,x,,,,,
x,x,x,x,x,,x
x,,,x,,x,x
,x,,x,,x,x
x,x,,x,x,,x
x,,,x,x,x,x
,x,,x,x,x,x
,x,x,x,x,x,x
NA,,,,,,